TeamName,G,Date,,Opp,WinorLose,points,opp_points,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Philadelphia 76ers,34,12/28/2021,@,TOR,W,114,109,34,77,0.442,14,30,0.467,32,38,0.842,8,42,23,6,4,8,18,,38,87,0.437,15,41,0.366,18,22,0.818,9,43,24,7,5,10,24
Philadelphia 76ers,35,12/30/2021,@,BRK,W,110,102,42,100,0.42,13,32,0.406,13,20,0.65,14,43,22,10,4,7,20,,37,81,0.457,7,27,0.259,21,27,0.778,12,52,21,4,9,17,22
Philadelphia 76ers,36,1/3/2022,,HOU,W,133,113,50,96,0.521,17,40,0.425,16,17,0.941,12,54,33,7,7,12,21,,37,89,0.416,15,44,0.341,24,33,0.727,11,42,25,6,4,11,16
Philadelphia 76ers,37,1/5/2022,@,ORL,W,116,106,43,85,0.506,12,28,0.429,18,24,0.75,10,42,26,8,4,15,16,,40,90,0.444,12,39,0.308,14,20,0.7,14,47,22,9,3,19,30
Philadelphia 76ers,38,1/7/2022,,SAS,W,119,100,45,87,0.517,8,23,0.348,21,27,0.778,12,49,28,7,4,13,18,,38,92,0.413,9,30,0.3,15,20,0.75,11,39,22,6,6,12,21
Philadelphia 76ers,39,1/10/2022,@,HOU,W,111,91,43,94,0.457,10,35,0.286,15,18,0.833,14,47,23,14,7,14,21,,30,77,0.39,13,42,0.31,18,27,0.667,7,39,18,8,7,20,11
Philadelphia 76ers,40,1/12/2022,,CHO,L,98,109,34,73,0.466,12,30,0.4,18,28,0.643,3,33,18,3,3,16,13,,46,89,0.517,10,34,0.294,7,8,0.875,7,42,29,9,3,10,21
Philadelphia 76ers,41,1/14/2022,,BOS,W,111,99,38,85,0.447,14,41,0.341,21,25,0.84,7,40,26,12,4,9,19,,37,78,0.474,11,31,0.355,14,18,0.778,7,44,20,4,4,20,21
Philadelphia 76ers,42,1/15/2022,@,MIA,W,109,98,40,79,0.506,13,32,0.406,16,21,0.762,6,43,24,5,5,15,22,,33,86,0.384,9,35,0.257,23,30,0.767,12,43,24,10,4,10,18
Philadelphia 76ers,43,1/17/2022,@,WAS,L,98,117,35,86,0.407,7,26,0.269,21,25,0.84,10,42,19,9,3,12,26,,42,87,0.483,9,30,0.3,24,32,0.75,9,49,25,7,6,12,18
Philadelphia 76ers,44,1/19/2022,,ORL,W,123,110,45,83,0.542,10,28,0.357,23,27,0.852,6,44,21,7,8,9,15,,40,90,0.444,18,35,0.514,12,16,0.75,9,43,26,4,4,11,19
Philadelphia 76ers,45,1/21/2022,,LAC,L,101,102,38,91,0.418,10,28,0.357,15,21,0.714,13,44,23,7,3,7,17,,40,87,0.46,11,32,0.344,11,15,0.733,10,49,21,5,0,10,21
Philadelphia 76ers,46,1/23/2022,@,SAS,W,115,109,44,92,0.478,7,16,0.438,20,23,0.87,13,47,22,5,3,10,19,,42,89,0.472,10,30,0.333,15,22,0.682,12,43,30,4,5,8,15
Philadelphia 76ers,47,1/25/2022,,NOP,W,117,107,39,84,0.464,10,31,0.323,29,31,0.935,14,44,26,4,8,10,22,,40,83,0.482,9,22,0.409,18,26,0.692,11,39,26,5,7,8,25
Philadelphia 76ers,48,1/27/2022,,LAL,W,105,87,41,82,0.5,13,35,0.371,10,17,0.588,3,41,30,8,5,14,14,,36,88,0.409,6,29,0.207,9,9,1,9,42,19,7,9,17,16
Philadelphia 76ers,49,1/29/2022,,SAC,W,103,101,36,70,0.514,12,30,0.4,19,26,0.731,3,36,24,8,3,17,17,,36,82,0.439,12,35,0.343,17,20,0.85,10,43,24,9,2,13,21
